species,co_occurrence_ratio,p_value,significant
species_Nucifraga columbiana,0.03125,0.0037141754192399484,True
species_Draperia systyla,0.030303030303030304,0.04274633587611736,True
species_Juniperus occidentalis,0.030211480362537766,7.477454499584747e-05,True
species_Arctostaphylos patula,0.03018867924528302,3.553308110755518e-07,True
species_Corallorhiza maculata,0.03,0.00016320907177961696,True
species_Eriogonum nudum,0.029900332225913623,0.00015510544396057785,True
species_Marmota flaviventris,0.029411764705882353,0.0007810550442955337,True
species_Pinus jeffreyi,0.02727272727272727,0.0008737469877942149,True
species_Passerella iliaca,0.02702702702702703,0.007194679274404581,True
species_Nymphalis antiopa,0.025974025974025976,0.005228837114682352,True
species_Leptosiphon ciliatus,0.02564102564102564,3.5714524517079358e-06,True
species_Allium campanulatum,0.025179856115107913,9.787257253399427e-05,True
species_Monardella odoratissima,0.024930747922437674,6.961268124832517e-06,True
species_Heracleum maximum,0.022988505747126436,0.0017940802265178904,True
species_Ribes cereum,0.0228310502283105,0.00039107663367265576,True
species_Erythranthe breweri,0.022727272727272728,0.00161139279920208,True
species_Penstemon newberryi,0.022641509433962263,1.5813925864450229e-12,True
species_Allium validum,0.02185792349726776,0.0011059428263740993,True
species_Ceanothus cordulatus,0.021791767554479417,4.4468815253477374e-07,True
species_Angelica capitellata,0.020833333333333332,2.3969214599303124e-05,True
species_Phlox diffusa,0.020618556701030927,2.0413094383885076e-05,True
species_Dendragapus fuliginosus,0.020202020202020204,0.000492460848810223,True
species_Zonotrichia leucophrys,0.02,0.002673109200626691,True
species_Calochortus leichtlinii,0.0198744769874477,5.288775356360317e-16,True
species_Platanthera dilatata,0.018604651162790697,7.178906467119843e-08,True
species_Pedicularis semibarbata,0.018518518518518517,0.000185819401198048,True
species_Lonicera involucrata,0.01834862385321101,0.01014696133902025,True
species_Erythranthe primuloides,0.017241379310344827,7.790415094225338e-05,True
species_Pinus contorta,0.015151515151515152,9.687513317232066e-07,True
species_Rhododendron columbianum,0.014778325123152709,0.00014608088126684589,True
