species,pearson_correlation,p_value,significant
species_Pinus contorta,-0.02563501562451802,0.0012910896025803322,True
species_Pinus jeffreyi,-0.024153237598590126,0.002430276787169792,True
species_Pinus monophylla,0.01926194485318819,0.015615899795646296,True
species_Pinus ponderosa,0.05868760606229579,1.6786654836313038e-13,True
species_Pipilo chlorurus,-0.021826199659368467,0.006149340911691136,True
species_Platanthera dilatata,-0.018662445120205578,0.01915461624312756,True
species_Poecile gambeli,-0.021265551353485942,0.007600519413647371,True
species_Polemonium californicum,-0.018045868404008562,0.02350637962564718,True
species_Populus tremuloides,-0.03174344254132018,6.745433437423416e-05,True
species_Prunella vulgaris,0.04127654841843245,2.1859641027542307e-07,True
species_Prunus emarginata,-0.028209337467510733,0.00039826717413979476,True
species_Pseudotsuga menziesii,0.058070648129875835,2.9967532432955504e-13,True
species_Pterospora andromedea,-0.023438791184791474,0.003259077386060113,True
species_Purshia tridentata,-0.020880821513046384,0.008766814560470996,True
species_Pyrola picta,-0.03081215710759423,0.00010967757369720713,True
species_Quercus chrysolepis,0.061582873275279414,1.0215411290566816e-14,True
species_Quercus douglasii,-0.022810154843410493,0.004193177200729421,True
species_Quercus kelloggii,0.054585751801945165,7.075953840597927e-12,True
species_Quercus vacciniifolia,-0.033192083283876454,3.0856401938975244e-05,True
species_Rhododendron columbianum,-0.02654327417663123,0.000862224436277136,True
species_Ribes cereum,-0.01626080697935556,0.041249637873854626,True
species_Rubus armeniacus,0.04876264405909155,9.137430279022967e-10,True
species_Sambucus racemosa,-0.02609472763833308,0.0010540793003762116,True
species_Sarcodes sanguinea,-0.03286555686884939,3.6906867700423566e-05,True
species_Sedum obtusatum,-0.029820739968790616,0.00018140042998098912,True
species_Sedum spathulifolium,0.02101797700921689,0.008333858138280628,True
species_Senecio integerrimus,-0.02446699827668214,0.0021313793838048313,True
species_Sidalcea glaucescens,-0.028395412258106684,0.0003644150052896702,True
species_Silene laciniata,0.07097300445945538,4.705323405115959e-19,True
species_Spiraea splendens,-0.03550084309095379,8.308403698061273e-06,True
species_Streptanthus tortuosus,-0.04284240456841287,7.466161342848166e-08,True
species_Tamiasciurus douglasii,-0.01773268400129271,0.026028533359304485,True
species_Thamnophis elegans,-0.01976590934113774,0.013099924529044587,True
species_Toxicodendron diversilobum,0.038031768660461235,1.7965788312441253e-06,True
species_Triteleia ixioides,-0.020543381959305745,0.009918702942741638,True
species_Triteleia laxa,-0.017046004111764324,0.03238858275350669,True
species_Tsuga mertensiana,-0.030670235964725616,0.00011797552126641828,True
species_Umbellularia californica,0.01945396021737284,0.014611105474608562,True
species_Veratrum californicum,-0.034611910098424604,1.3901774537497639e-05,True
species_Vinca major,0.02731761649112121,0.0006052614338844935,True
species_Viola macloskeyi,-0.03001707010939456,0.00016438915646129618,True
species_Woodwardia fimbriata,0.03696947079074588,3.457440986356988e-06,True
species_Wyethia mollis,-0.030279287077263857,0.0001440008164572596,True
