species,spearman_correlation,p_value,significant
species_Lilium kelleyanum,-0.02111324373147178,0.008044491357351538,True
species_Lilium pardalinum,0.017085421999213334,0.03199043394040496,True
species_Lilium parvum,-0.0511055690163605,1.3771303064966485e-10,True
species_Limenitis bredowii,0.06252202409261626,4.005404695867311e-15,True
species_Lonicera conjugialis,-0.03299052702224645,3.446897118812688e-05,True
species_Lonicera involucrata,-0.0217859428632352,0.006244556468279718,True
species_Lupinus stiversii,0.026259694913476298,0.000979340432999138,True
species_Lysimachia latifolia,0.08727777237556648,5.035571217702746e-28,True
species_Madia elegans,0.020907801776555112,0.008680091598404077,True
species_Maianthemum stellatum,-0.015846775497151046,0.04669709103886272,True
species_Marmota flaviventris,-0.02770376232997756,0.0005056640172831812,True
species_Meleagris gallopavo,0.03898000814308544,9.870622944282127e-07,True
species_Monardella odoratissima,-0.036543797228572275,4.472843961173823e-06,True
species_Monochamus scutellatus,-0.021633798092391472,0.006616511265969207,True
species_Myriopteris gracillima,-0.025346479955832297,0.0014640249761917598,True
species_Navarretia leptalea,-0.03309337899613294,3.257807210275228e-05,True
species_Nemophila heterophylla,0.02571590063228774,0.0012461111540414992,True
species_Neolentinus ponderosus,-0.023629744805018497,0.0030154464202864955,True
species_Nucifraga columbiana,-0.024129116862441926,0.0024547727792469647,True
species_Nymphalis antiopa,-0.023336128817576615,0.003397348664237503,True
species_Paeonia brownii,-0.02882800826500806,0.0002958287638244296,True
species_Parnassius clodius,-0.02590933001454294,0.0011443521620716512,True
species_Passerella iliaca,-0.022532303227291373,0.004678641768724584,True
species_Pedicularis attollens,-0.02939330580377034,0.0002243240981093447,True
species_Pedicularis groenlandica,-0.016651236044955334,0.03661561983492669,True
species_Pedicularis semibarbata,-0.03072589873009176,0.0001146528109309861,True
species_Pellaea bridgesii,-0.032967804036886705,3.490055796471877e-05,True
species_Penstemon newberryi,-0.05701375487857733,7.976254893100988e-13,True
species_Phacelia cicutaria,-0.027380227020501184,0.0005879605725682372,True
species_Pheucticus melanocephalus,0.03336116638389681,2.81062772628996e-05,True
species_Phlox diffusa,-0.03474849254580593,1.2854657084740877e-05,True
species_Phyllodoce breweri,-0.040443160812242675,3.813149292453383e-07,True
species_Pinus contorta,-0.03977845194765061,5.897954333299444e-07,True
species_Pinus jeffreyi,-0.027458929735510045,0.0005668659597239266,True
species_Pinus monophylla,0.0435252688666351,4.618606631898454e-08,True
species_Pinus ponderosa,0.06820278024487676,1.0344907517913351e-17,True
species_Pipilo chlorurus,-0.025909329950145638,0.0011443521946325223,True
species_Platanthera dilatata,-0.04354813442763337,4.5443582686340665e-08,True
species_Poecile gambeli,-0.02224315482189271,0.005237352783695099,True
species_Polemonium californicum,-0.02494114343367602,0.0017431656437119183,True
species_Populus tremuloides,-0.04402866300353377,3.2266256092425834e-08,True
